
> thowil-mobile@1.0.0 start
> node scripts/serve-web.js

 INFO  Accepting connections at http://0.0.0.0:3000
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109149-10963
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 69 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109543-10964
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109556-10965
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109565-10966
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109575-10967
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109583-10968
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109594-10969
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109604-10970
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109612-10971
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109621-10972
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109633-10973
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109641-10974
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109650-10975
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109660-10976
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109670-10977
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109682-10978
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109690-10979
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109697-10980
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109705-10981
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109713-10982
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109721-10983
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109729-10984
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109735-10985
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109742-10986
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 GET /socket.io/?X_LOCAL_SECURITY_COOKIE=&EIO=3&transport=polling&t=1777806109749-10987
 HTTP  5/3/2026 4:31:49 PM 127.0.0.1 Returned 200 in 1 ms
